Selena Gomez,105.4
Taylor Swift,95.2
Ariana Grande,92.3
Beyonce,90.6
Kim Kardashian West,89.3
Cristiano Ronaldo,85.1
Kylie,81.8
Justin Bieber,77.9
therock,73.3
Kendall,70.9
Nicki Minaj,70.8
nike,68.2
National Geographic,65.8
Nj,64
Leo Messi,61.9
Khloe,60.2
KATY PERRY,59.6
Miley Cyrus,57.8
Jennifer Lopez,55.1
Demi Lovato,51.3
Kourtney Kardashian,50.7
Victoria's Secret,49.1
badgalriri,47.3
Kevin Hart,45.9
FC Barcelona,43.3
